,Quarter,Tm,Detail,DET,SFO
0,2.0,49ers,Jerry Rice 11 yard rush (Mike Cofer kick),0,7
1,2.0,Lions,Eddie Murray 24 yard field goal,3,7
2,2.0,49ers,Mike Cofer 29 yard field goal,3,10
3,3.0,49ers,John Taylor 77 yard punt return (Mike Cofer kick),3,17
4,3.0,Lions,Eddie Murray 34 yard field goal,6,17
5,4.0,49ers,Mike Cofer 29 yard field goal,6,20
6,4.0,Lions,Pete Mandley 11 yard pass from Chuck Long (Eddie Murray kick),13,20
