,Quarter,Tm,Detail,PIT,NYG
0,2.0,Pirates,Mose Kelsch 14 yard field goal,3,0
1,3.0,Giants,Max Krause 20 yard pass from Ken Strong (Ken Strong kick),3,7
2,4.0,Giants,Red Badgro 25 yard pass from Harry Newman,3,13
3,4.0,Giants,Kink Richards 14 yard pass from Harry Newman (Max Krause pass from Harry Newman),3,20
4,4.0,Giants,Kink Richards 15 yard rush (Kink Richards kick),3,27
