,Quarter,Time,Tm,Detail,TEN,DET
0,1.0,7:16,Lions,"Safety, DeMarco Murray tackled in end zone by Devin Taylor",0,2
1,1.0,4:15,Lions,Anquan Boldin 24 yard pass from Matthew Stafford (Matt Prater kick),0,9
2,2.0,12:03,Titans,Ryan Succop 46 yard field goal,3,9
3,2.0,1:04,Lions,Matt Prater 42 yard field goal,3,12
4,3.0,1:40,Lions,Matt Prater 27 yard field goal,3,15
5,4.0,14:54,Titans,Delanie Walker 30 yard pass from Marcus Mariota (Ryan Succop kick),10,15
6,4.0,1:13,Titans,Andre Johnson 9 yard pass from Marcus Mariota (run failed),16,15
