,Quarter,Time,Tm,Detail,TEN,CIN
0,1.0,,Oilers,Al Del Greco 38 yard field goal,3,0
1,1.0,,Bengals,Darnay Scott 23 yard pass from Neil O'Donnell (Doug Pelfrey kick),3,7
2,2.0,,Oilers,Willie Davis 8 yard pass from Steve McNair (Al Del Greco kick),10,7
3,3.0,,Oilers,Eddie George 3 yard rush (Al Del Greco kick),17,7
4,3.0,,Bengals,Corey Dillon 3 yard rush (Doug Pelfrey kick),17,14
5,4.0,,Oilers,Al Del Greco 31 yard field goal,20,14
6,4.0,,Oilers,Al Del Greco 48 yard field goal,23,14
