,Quarter,Time,Tm,Detail,TEN,IND
0,1.0,7:13,Colts,Mike Vanderjagt 40 yard field goal,0,3
1,2.0,14:56,Titans,Al Del Greco 49 yard field goal,3,3
2,2.0,5:38,Colts,Mike Vanderjagt 40 yard field goal,3,6
3,2.0,3:15,Titans,Al Del Greco 37 yard field goal,6,6
4,2.0,0:01,Colts,Mike Vanderjagt 34 yard field goal,6,9
5,3.0,13:19,Titans,Eddie George 68 yard rush (Al Del Greco kick),13,9
6,4.0,12:57,Titans,Al Del Greco 25 yard field goal,16,9
7,4.0,4:19,Titans,Al Del Greco 43 yard field goal,19,9
8,4.0,1:51,Colts,Peyton Manning 15 yard rush (Mike Vanderjagt kick),19,16
