,Quarter,Time,Tm,Detail,CHI,OAK
0,2.0,15:00,Raiders,Josh Jacobs 12 yard rush (Daniel Carlson kick),0,7
1,2.0,9:56,Raiders,DeAndre Washington 3 yard rush (Daniel Carlson kick),0,14
2,2.0,2:00,Raiders,Daniel Carlson 41 yard field goal,0,17
3,3.0,12:48,Bears,David Montgomery 1 yard rush (Eddy Pineiro kick),7,17
4,3.0,4:03,Bears,Allen Robinson 4 yard pass from Chase Daniel (Eddy Pineiro kick),14,17
5,3.0,1:22,Bears,Allen Robinson 16 yard pass from Chase Daniel (Eddy Pineiro kick),21,17
6,4.0,2:00,Raiders,Josh Jacobs 2 yard rush (Daniel Carlson kick),21,24
