,Quarter,Tm,Detail,PIT,DAL
0,2.0,Steelers,Gary Anderson 48 yard field goal,3,0
1,2.0,Cowboys,Tony Dorsett 56 yard pass from Danny White (Rafael Septien kick),3,7
2,2.0,Cowboys,Rafael Septien 38 yard field goal,3,10
3,3.0,Cowboys,Rafael Septien 39 yard field goal,3,13
4,3.0,Cowboys,Eugene Lockhart 19 yard interception return (Rafael Septien kick),3,20
5,4.0,Steelers,Gary Anderson 34 yard field goal,6,20
6,4.0,Steelers,Walter Abercrombie 1 yard rush (Gary Anderson kick),13,20
7,4.0,Cowboys,Tony Dorsett 35 yard rush (Rafael Septien kick),13,27
