,Quarter,Tm,Detail,MIL,TOL
0,1.0,Badgers,Fritz Pollard unknown yard rush,6,0
1,2.0,Badgers,Mike Purdy unknown yard rush,12,0
2,2.0,Maroons,Steamer Horning 15 yard pass from Rat Watson,12,6
3,4.0,Maroons,Dunc Annan unknown yard rush,12,12
