,Quarter,Tm,Detail,WAS,PIT
0,1.0,Redskins,Dick Todd 35 yard pass from Frank Filchock (Bob Masterson kick),7,0
1,2.0,Steelers,Dick Riffle 10 yard pass from Al Donelli (Armand Niccolai kick),7,7
2,2.0,Redskins,Joe Aguirre 39 yard field goal,10,7
3,3.0,Redskins,Dick Todd 7 yard rush (Bob Masterson kick),17,7
4,3.0,Redskins,Ray Hare 7 yard rush (Bob Masterson kick),24,7
5,4.0,Steelers,Art Jones 59 yard pass from Coley McDonough (Armand Niccolai kick),24,14
6,4.0,Steelers,Boyd Brumbaugh 1 yard rush,24,20
