,Quarter,Time,Tm,Detail,CHI,DET
0,2.0,,Lions,Brett Perriman 6 yard pass from Scott Mitchell (Jason Hanson kick),0,7
1,2.0,,Lions,Chris Spielman 25 yard defensive fumble return (Jason Hanson kick),0,14
2,2.0,,Bears,Nate Lewis 5 yard pass from Erik Kramer (Kevin Butler kick),7,14
3,3.0,,Bears,Kevin Butler 22 yard field goal,10,14
4,3.0,11:20,Lions,Mel Gray 102 yard kickoff return (Jason Hanson kick),10,21
5,3.0,11:20,Bears,Jeff Graham 76 yard pass from Erik Kramer (pass failed),16,21
