,Quarter,Time,Tm,Detail,HOU,KAN
0,1.0,,Chiefs,Derrick Walker 10 yard pass from Joe Montana (Lin Elliott kick),0,7
1,1.0,,Oilers,Al Del Greco 48 yard field goal,3,7
2,3.0,,Chiefs,Lake Dawson 25 yard pass from Joe Montana (Lin Elliott kick),3,14
3,3.0,,Chiefs,Donnell Bennett 12 yard rush (Lin Elliott kick),3,21
4,4.0,4:24,Oilers,Haywood Jeffires 20 yard pass from Billy Joe Tolliver (pass failed),9,21
5,4.0,4:24,Chiefs,Lin Elliott 21 yard field goal,9,24
6,4.0,4:15,Chiefs,Greg Hill 8 yard rush (Lin Elliott kick),9,31
