,Quarter,Tm,Detail,NOR,PHI
0,1.0,Saints,Morten Andersen 41 yard field goal,3,0
1,1.0,Saints,Morten Andersen 56 yard field goal,6,0
2,1.0,Saints,Morten Andersen 35 yard field goal,9,0
3,2.0,Eagles,"Safety, Thomas sacked M. Buck in end zone",9,2
4,2.0,Eagles,Mike Young 49 yard pass from Bubby Brister,9,8
5,2.0,Eagles,Herschel Walker 11 yard pass from Bubby Brister (Roger Ruzek kick),9,15
6,2.0,Saints,Morten Andersen 37 yard field goal,12,15
7,2.0,Eagles,Roger Ruzek 46 yard field goal,12,18
8,3.0,Eagles,Eric Allen 33 yard interception return,12,24
9,3.0,Saints,Brad Muster 2 yard rush (Morten Andersen kick),19,24
10,4.0,Eagles,Mark Bavaro 6 yard pass from Bubby Brister,19,30
11,4.0,Eagles,Eric Allen 25 yard interception return (Roger Ruzek kick),19,37
12,4.0,Saints,Tyrone Hughes 83 yard punt return (Morten Andersen kick),26,37
