,Quarter,Time,Tm,Detail,LAC,TAM
0,1.0,10:05,Buccaneers,Cameron Brate 3 yard pass from Tom Brady (Ryan Succop kick),0,7
1,1.0,8:24,Chargers,Tyron Johnson 53 yard pass from Justin Herbert (Michael Badgley kick),7,7
2,1.0,4:08,Chargers,Michael Davis 78 yard interception return (Michael Badgley kick),14,7
3,2.0,8:56,Chargers,Donald Parham 19 yard pass from Justin Herbert (Michael Badgley kick),21,7
4,2.0,1:41,Chargers,Michael Badgley 53 yard field goal,24,7
5,2.0,0:28,Buccaneers,Mike Evans 6 yard pass from Tom Brady (Ryan Succop kick),24,14
6,3.0,8:29,Buccaneers,O.J. Howard 28 yard pass from Tom Brady (Ryan Succop kick),24,21
7,3.0,0:56,Buccaneers,Scott Miller 19 yard pass from Tom Brady (Ryan Succop kick),24,28
8,3.0,0:12,Chargers,Jalen Guyton 72 yard pass from Justin Herbert (Michael Badgley kick),31,28
9,4.0,11:10,Buccaneers,Ke'Shawn Vaughn 9 yard pass from Tom Brady (Ryan Succop kick),31,35
10,4.0,2:44,Buccaneers,Ryan Succop 26 yard field goal,31,38
