,Quarter,Tm,Detail,BUF,SDG
0,1.0,Chargers,Ron Smith 72 yard punt return (Ray Wersching kick),0,7
1,2.0,Bills,O.J. Simpson 6 yard rush (John Leypoldt kick),7,7
2,2.0,Chargers,Robert Holmes 1 yard rush (Ray Wersching kick),7,14
3,3.0,Chargers,Gary Garrison 26 yard pass from Johnny Unitas (Ray Wersching kick),7,21
4,3.0,Chargers,Jim Thaxton 12 yard pass from Johnny Unitas (Ray Wersching kick),7,28
5,4.0,Chargers,Robert Holmes 4 yard rush,7,34
