,Quarter,Tm,Detail,NYG,DET
0,1.0,Lions,Bill Munson 1 yard rush (Errol Mann kick),0,7
1,1.0,Giants,Pete Gogolak 42 yard field goal,3,7
2,1.0,Lions,Errol Mann 35 yard field goal,3,10
3,2.0,Giants,Pete Gogolak 33 yard field goal,6,10
4,3.0,Giants,Bob Grim 5 yard pass from Craig Morton (Pete Gogolak kick),13,10
5,4.0,Giants,Pete Gogolak 34 yard field goal,16,10
6,4.0,Giants,Pete Gogolak 40 yard field goal,19,10
7,4.0,Lions,Bob Pickard 7 yard pass from Bill Munson (Errol Mann kick),19,17
8,4.0,Lions,Errol Mann 37 yard field goal,19,20
