,Quarter,Tm,Detail,DEN,HOU
0,1.0,Broncos,Ron Egloff 7 yard pass from Steve DeBerg (Rich Karlis kick),7,0
1,2.0,Oilers,Tim Smith 40 yard pass from Gifford Nielsen (Florian Kempf kick),7,7
2,2.0,Broncos,Rich Karlis 45 yard field goal,10,7
3,2.0,Broncos,Steve Watson 24 yard pass from Steve DeBerg (Rich Karlis kick),17,7
4,2.0,Broncos,Rich Karlis 39 yard field goal,20,7
5,2.0,Oilers,Earl Campbell 1 yard rush (Florian Kempf kick),20,14
6,3.0,Broncos,Rich Karlis 49 yard field goal,23,14
7,4.0,Broncos,Rich Karlis 35 yard field goal,26,14
