,Quarter,Tm,Detail,SDG,CLE
0,1.0,Chargers,Chuck Muncie 1 yard rush (Rolf Benirschke kick),7,0
1,1.0,Chargers,Chuck Muncie 1 yard rush (Rolf Benirschke kick),14,0
2,1.0,Browns,Matt Bahr 46 yard field goal,14,3
3,2.0,Chargers,James Brooks 1 yard rush (Rolf Benirschke kick),21,3
4,2.0,Chargers,James Brooks 11 yard rush,27,3
5,3.0,Browns,Matt Bahr 34 yard field goal,27,6
6,3.0,Browns,Ozzie Newsome 4 yard pass from Brian Sipe (Matt Bahr kick),27,13
7,4.0,Chargers,Rolf Benirschke 24 yard field goal,30,13
