,Quarter,Time,Tm,Detail,DET,MIN
0,1.0,7:39,Vikings,Robert Smith 1 yard rush (Gary Anderson kick),0,7
1,2.0,14:56,Vikings,Cris Carter 4 yard pass from Daunte Culpepper (Gary Anderson kick),0,14
2,2.0,1:12,Lions,Jason Hanson 52 yard field goal,3,14
3,2.0,0:04,Vikings,Gary Anderson 40 yard field goal,3,17
4,4.0,13:59,Lions,James Stewart 3 yard rush (Jason Hanson kick),10,17
5,4.0,3:04,Vikings,Robert Smith 43 yard rush (Gary Anderson kick),10,24
6,4.0,0:13,Lions,Larry Foster 40 yard pass from Stoney Case (Jason Hanson kick),17,24
