,Quarter,Time,Tm,Detail,ATL,MIA
0,1.0,,Dolphins,Pete Stoyanovich 42 yard field goal,0,3
1,1.0,,Falcons,Bert Emanuel 1 yard pass from Jeff George (Morten Andersen kick),7,3
2,2.0,,Falcons,Eric Metcalf 23 yard rush (Morten Andersen kick),14,3
3,2.0,,Dolphins,Gary Clark 6 yard pass from Dan Marino (pass failed),14,9
4,4.0,,Falcons,Terance Mathis 16 yard pass from Jeff George (pass failed),20,9
5,4.0,,Dolphins,Bernie Parmalee 3 yard rush (pass failed),20,15
6,4.0,,Dolphins,Irving Fryar 21 yard pass from Dan Marino (pass failed),20,21
