,Quarter,Tm,Detail,NOR,SFO
0,1.0,49ers,Sammy Johnson 1 yard rush (Steve Mike-Mayer kick),0,7
1,1.0,49ers,Gene Washington 55 yard pass from Jim Plunkett (Steve Mike-Mayer kick),0,14
2,1.0,49ers,Tony Leonard 60 yard punt return (Steve Mike-Mayer kick),0,21
3,2.0,49ers,Steve Mike-Mayer 19 yard field goal,0,24
4,2.0,49ers,Wilbur Jackson 17 yard pass from Jim Plunkett,0,30
5,3.0,Saints,Rich Szaro 46 yard field goal,3,30
6,4.0,49ers,Steve Mike-Mayer 31 yard field goal,3,33
