,Quarter,Tm,Detail,PIT,GNB
0,1.0,Steelers,Dick Hoak 2 yard rush (Lou Michaels kick),7,0
1,1.0,Packers,Jerry Kramer 23 yard field goal,7,3
2,2.0,Packers,Jerry Kramer 36 yard field goal,7,6
3,2.0,Packers,Jerry Kramer 12 yard field goal,7,9
4,3.0,Packers,Jim Taylor 1 yard rush (Jerry Kramer kick),7,16
5,3.0,Packers,Elijah Pitts 2 yard rush (Jerry Kramer kick),7,23
6,4.0,Packers,Jerry Kramer 37 yard field goal,7,26
7,4.0,Steelers,Red Mack 33 yard pass from Ed Brown (Lou Michaels kick),14,26
8,4.0,Packers,Elijah Pitts 1 yard rush (Jerry Kramer kick),14,33
