,Quarter,Tm,Detail,ATL,KAN
0,1.0,Chiefs,Ethan Horton 1 yard rush (Nick Lowery kick),0,7
1,1.0,Chiefs,Herman Heard 6 yard rush (Nick Lowery kick),0,14
2,2.0,Falcons,Gerald Riggs 1 yard rush (Mick Luckhurst kick),7,14
3,2.0,Chiefs,Stephone Paige 70 yard pass from Todd Blackledge (Nick Lowery kick),7,21
4,2.0,Chiefs,Nick Lowery 49 yard field goal,7,24
5,2.0,Falcons,Mick Luckhurst 37 yard field goal,10,24
6,3.0,Chiefs,Herman Heard 15 yard pass from Todd Blackledge (Nick Lowery kick),10,31
7,3.0,Chiefs,Stephone Paige 14 yard pass from Todd Blackledge (Nick Lowery kick),10,38
