,Quarter,Tm,Detail,MIN,GNB
0,2.0,Marines,Ainer Cleve 35 yard pass from Bill Irgens,6,0
1,4.0,Packers,Curly Lambeau 4 yard rush (Cub Buck kick),6,7
2,4.0,Packers,Charlie Mathys unknown yard pass from Curly Lambeau,6,14
