,Quarter,Tm,Detail,STL,RAM
0,1,Rams,Cullen Bryant 1 yard rush (Frank Corral kick),0,7
1,2,Rams,Wendell Tyler 1 yard rush (Frank Corral kick),0,14
2,4,Rams,Billy Waddy 27 yard pass from Vince Ferragamo (Frank Corral kick),0,21
