,Quarter,Time,Tm,Detail,NYG,MIA
0,1.0,11:09,Giants,Josh Brown 35 yard field goal,3,0
1,1.0,5:41,Dolphins,Lamar Miller 14 yard rush (Andrew Franks kick),3,7
2,2.0,13:00,Giants,Rueben Randle 6 yard pass from Eli Manning (Josh Brown kick),10,7
3,2.0,10:10,Dolphins,Lamar Miller 38 yard rush (Andrew Franks kick),10,14
4,2.0,1:52,Dolphins,Andrew Franks 36 yard field goal,10,17
5,2.0,0:44,Giants,Will Tye 5 yard pass from Eli Manning (Josh Brown kick),17,17
6,3.0,9:37,Dolphins,Kenny Stills 47 yard pass from Ryan Tannehill (Andrew Franks kick),17,24
7,3.0,5:01,Giants,Odell Beckham Jr. 6 yard pass from Eli Manning (Josh Brown kick),24,24
8,4.0,11:13,Giants,Odell Beckham Jr. 84 yard pass from Eli Manning (Josh Brown kick),31,24
