,Quarter,Time,Tm,Detail,CAR,TAM
0,1.0,10:37,Buccaneers,Arrelious Benn 8 yard pass from Josh Freeman (Connor Barth kick),0,7
1,1.0,0:52,Panthers,John Kasay 46 yard field goal,3,7
2,2.0,12:23,Buccaneers,LeGarrette Blount 17 yard rush (Connor Barth kick),3,14
3,2.0,7:57,Panthers,Josh Vaughan 2 yard rush (John Kasay kick),10,14
4,2.0,0:50,Buccaneers,Kellen Winslow 20 yard pass from Josh Freeman (Connor Barth kick),10,21
5,3.0,4:28,Panthers,John Kasay 28 yard field goal,13,21
6,3.0,1:02,Panthers,John Kasay 48 yard field goal,16,21
7,4.0,10:02,Buccaneers,Connor Barth 32 yard field goal,16,24
8,4.0,2:42,Buccaneers,Cadillac Williams 45 yard rush (Connor Barth kick),16,31
