,Quarter,Tm,Detail,MIN,SIS
0,1.0,Stapletons,Hinkey Haines 35 yard rush (Ken Strong kick),0,7
1,1.0,Stapletons,Doug Wycoff 1 yard rush (Ken Strong kick),0,14
2,1.0,Stapletons,Sammy Stein 50 yard pass from Doug Wycoff (Ken Strong kick),0,21
3,2.0,Stapletons,Tom Leary unknown yard pass from Hinkey Haines,0,27
4,4.0,Stapletons,Ken Strong 8 yard rush (Ken Strong kick),0,34
