,Quarter,Tm,Detail,KAN,NWE
0,1.0,Chiefs,Stephone Paige 86 yard pass from Steve DeBerg (Nick Lowery kick),7,0
1,1.0,Chiefs,Nick Lowery 19 yard field goal,10,0
2,1.0,Chiefs,Nick Lowery 32 yard field goal,13,0
3,2.0,Chiefs,Nick Lowery 45 yard field goal,16,0
4,2.0,Chiefs,Robb Thomas 11 yard pass from Steve DeBerg (Nick Lowery kick),23,0
5,3.0,Chiefs,Christian Okoye 1 yard rush (Nick Lowery kick),30,0
6,3.0,Patriots,Marv Cook 2 yard pass from Tom Hodson (Jason Staurovsky kick),30,7
7,4.0,Chiefs,Christian Okoye 1 yard rush (Nick Lowery kick),37,7
