,Quarter,Tm,Detail,ATL,DEN
0,1.0,Falcons,William Andrews 8 yard rush (Mick Luckhurst kick),7,0
1,1.0,Broncos,Sammy Winder 3 yard rush (Rich Karlis kick),7,7
2,1.0,Broncos,Steve Watson 6 yard pass from Steve DeBerg (Rich Karlis kick),7,14
3,2.0,Falcons,Junior Miller 9 yard pass from Steve Bartkowski (Mick Luckhurst kick),14,14
4,2.0,Broncos,Rich Karlis 31 yard field goal,14,17
5,3.0,Broncos,Rich Karlis 26 yard field goal,14,20
6,3.0,Falcons,William Andrews 86 yard pass from Steve Bartkowski (Mick Luckhurst kick),21,20
7,3.0,Falcons,Mick Luckhurst 51 yard field goal,24,20
8,4.0,Falcons,Mick Luckhurst 51 yard field goal,27,20
9,4.0,Falcons,William Andrews 2 yard rush (Mick Luckhurst kick),34,20
10,4.0,Broncos,James Wright 5 yard pass from Steve DeBerg (Rich Karlis kick),34,27
