,Quarter,Time,Tm,Detail,PIT,GNB
0,2.0,,Packers,Edgar Bennett 9 yard rush (Chris Jacke kick),0,7
1,2.0,,Steelers,Norm Johnson 33 yard field goal,3,7
2,2.0,,Packers,Robert Brooks 19 yard pass from Brett Favre (Chris Jacke kick),3,14
3,2.0,,Steelers,Ernie Mills 8 yard pass from Neil O'Donnell (Norm Johnson kick),10,14
4,3.0,,Packers,Mark Chmura 1 yard pass from Brett Favre (Chris Jacke kick),10,21
5,3.0,,Steelers,Norm Johnson 25 yard field goal,13,21
6,4.0,,Packers,Chris Jacke 47 yard field goal,13,24
7,4.0,,Steelers,Tim Lester 2 yard rush (pass failed),19,24
