,Quarter,Tm,Detail,MIN,PHI
0,1.0,Vikings,Herschel Walker 93 yard kickoff return,6,0
1,1.0,Eagles,Steve DeLine 34 yard field goal,6,3
2,3.0,Vikings,Rich Karlis 49 yard field goal,9,3
3,4.0,Eagles,Cris Carter 3 yard pass from Randall Cunningham (Steve DeLine kick),9,10
