,Quarter,Tm,Detail,HOU,SDG
0,2.0,Oilers,Mike Richardson 2 yard rush (Roy Gerela kick),7,0
1,2.0,Chargers,Russ Smith 4 yard rush (Mike Mercer kick),7,7
2,2.0,Oilers,Jerry Rhome 8 yard rush (Roy Gerela kick),14,7
3,2.0,Chargers,Willie Frazier 3 yard pass from John Hadl (Mike Mercer kick),14,14
4,2.0,Oilers,Roy Gerela 18 yard field goal,17,14
5,3.0,Oilers,Alvin Reed 17 yard pass from Jerry Rhome (Roy Gerela kick),24,14
6,3.0,Oilers,Charlie Joiner 10 yard pass from Jerry Rhome (Roy Gerela kick),31,14
7,3.0,Chargers,Russ Smith 3 yard rush (Mike Mercer kick),31,21
8,4.0,Chargers,Mike Mercer 45 yard field goal,31,24
9,4.0,Chargers,Lance Alworth 80 yard pass from Marty Domres (Mike Mercer kick),31,31
