,Quarter,Tm,Detail,AKR,BUF
0,1.0,Bisons,Benny Boynton 30 yard field goal,0,3
1,1.0,Bisons,Mike Trainor unknown yard pass from Benny Boynton (Benny Boynton kick),0,10
2,2.0,Pros,Al Michaels unknown yard rush (Paul Hogan kick),7,10
3,3.0,Bisons,Pete Calac unknown yard rush (Benny Boynton kick),7,17
4,4.0,Pros,Wayne Brenkert unknown yard rush,13,17
