,Quarter,Tm,Detail,CRD,PHI
0,1.0,Eagles,Bobby Walston 15 yard field goal,0,3
1,1.0,Eagles,Dom Moselle 38 yard pass from Bobby Thomason (Bobby Walston kick),0,10
2,2.0,Eagles,Toy Ledbetter 48 yard pass from Bobby Thomason (Bobby Walston kick),0,17
3,2.0,Cardinals,Ollie Matson 59 yard punt return (Pat Summerall kick),7,17
4,3.0,Eagles,Toy Ledbetter 3 yard rush (Bobby Walston kick),7,24
5,4.0,Eagles,Pete Pihos 4 yard pass from Bobby Thomason,7,30
6,4.0,Cardinals,Johnny Olszewski 17 yard rush (Pat Summerall kick),14,30
