,Quarter,Tm,Detail,DET,GNB
0,1,Packers,Paul Hornung 13 yard field goal,0,3
1,2,Lions,Dan Lewis 6 yard rush (Wayne Walker kick),7,3
2,3,Packers,Paul Hornung 15 yard field goal,7,6
3,4,Packers,Paul Hornung 26 yard field goal,7,9
