,Quarter,Tm,Detail,CRD,GNB
0,1.0,Cardinals,Elmer Angsman 72 yard rush (Pat Harder kick),7,0
1,2.0,Cardinals,Charley Trippi 45 yard punt return (Pat Harder kick),14,0
2,4.0,Packers,Ken Roskie 2 yard rush (Ed Cody kick),14,7
3,4.0,Cardinals,Pat Harder 10 yard field goal,17,7
