,Quarter,Time,Tm,Detail,HOU,PHI
0,1.0,6:32,Eagles,Darren Sproles 37 yard pass from Nick Foles (Jake Elliott kick),0,7
1,2.0,14:52,Texans,Ka'imi Fairbairn 30 yard field goal,3,7
2,2.0,10:23,Texans,Deshaun Watson 5 yard rush (Ka'imi Fairbairn kick failed),9,7
3,2.0,3:08,Eagles,Zach Ertz 1 yard pass from Nick Foles,9,13
4,2.0,1:17,Texans,Deshaun Watson 6 yard rush (Ka'imi Fairbairn kick),16,13
5,3.0,5:31,Eagles,Jake Elliott 47 yard field goal,16,16
6,3.0,2:18,Eagles,Nelson Agholor 83 yard pass from Nick Foles (Jake Elliott kick),16,23
7,4.0,10:21,Eagles,Zach Ertz 23 yard pass from Nick Foles (Jake Elliott kick failed),16,29
8,4.0,4:41,Texans,D'Onta Foreman 20 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),23,29
9,4.0,2:04,Texans,Vyncint Smith 35 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),30,29
10,4.0,0:00,Eagles,Jake Elliott 35 yard field goal,30,32
