,Quarter,Tm,Detail,SDG,MIA
0,1.0,Dolphins,Nat Moore 3 yard pass from David Woodley (Uwe von Schamann kick),0,7
1,2.0,Dolphins,Andra Franklin 3 yard rush (Uwe von Schamann kick),0,14
2,2.0,Dolphins,Ronnie Lee 6 yard pass from David Woodley (Uwe von Schamann kick),0,21
3,2.0,Dolphins,Uwe von Schamann 24 yard field goal,0,24
4,2.0,Chargers,Charlie Joiner 28 yard pass from Dan Fouts,6,24
5,2.0,Dolphins,Uwe von Schamann 23 yard field goal,6,27
6,2.0,Chargers,Chuck Muncie 1 yard rush (Rolf Benirschke kick),13,27
7,4.0,Dolphins,David Woodley 7 yard rush (Uwe von Schamann kick),13,34
