,Quarter,Tm,Detail,CLE,HOU
0,1.0,Browns,Matt Bahr 44 yard field goal,3,0
1,1.0,Oilers,Florian Kempf 40 yard field goal,3,3
2,1.0,Oilers,Tim Smith 24 yard pass from Steve Bryant (Florian Kempf kick),3,10
3,2.0,Oilers,Earl Campbell 2 yard rush (Florian Kempf kick),3,17
4,2.0,Browns,Matt Bahr 45 yard field goal,6,17
5,2.0,Oilers,Steve Brown 93 yard kickoff return (Florian Kempf kick),6,24
6,2.0,Browns,Mike Pruitt 2 yard rush (Matt Bahr kick),13,24
7,3.0,Browns,Mike Pruitt 1 yard rush (Matt Bahr kick),20,24
8,3.0,Browns,Mike Pruitt 4 yard rush (Matt Bahr kick),27,24
9,3.0,Oilers,Florian Kempf 35 yard field goal,27,27
10,4.0,Oilers,Tim Smith 43 yard pass from Oliver Luck (Florian Kempf kick),27,34
