,Quarter,Tm,Detail,WAS,PHI
0,1.0,Eagles,Mel Bleeker 16 yard rush (Roy Zimmerman kick),0,7
1,1.0,Redskins,Wilbur Moore 16 yard pass from Frank Filchock,6,7
2,2.0,Eagles,Jack Hinkle 6 yard rush (Roy Zimmerman kick),6,14
3,2.0,Eagles,Jack Ferrante 45 yard pass from Roy Zimmerman (Roy Zimmerman kick),6,21
4,2.0,Redskins,Les Dye 3 yard pass from Frank Filchock,12,21
5,3.0,Eagles,Roy Zimmerman 34 yard field goal,12,24
6,3.0,Redskins,Larry Fuller 47 yard pass from Frank Filchock,18,24
7,3.0,Redskins,Bob Seymour 40 yard pass from Frank Filchock,24,24
8,4.0,Eagles,Jack Banta 8 yard fumble return (Roy Zimmerman kick),24,31
9,4.0,Redskins,Wilbur Moore 21 yard pass from Frank Filchock (Joe Aguirre kick),31,31
