,Quarter,Tm,Detail,CRD,PHI
0,1.0,Cardinals,Vinnie Yablonski 31 yard field goal,3,0
1,1.0,Eagles,Steve Van Buren 2 yard rush (Cliff Patton kick),3,7
2,2.0,Eagles,Jim Parmer 1 yard rush (Cliff Patton kick),3,14
3,3.0,Eagles,Jim Parmer 12 yard rush (Cliff Patton kick),3,21
4,4.0,Eagles,Steve Van Buren 4 yard rush (Cliff Patton kick),3,28
