,Quarter,Time,Tm,Detail,BAL,CAR
0,1.0,2:43,Ravens,Ron Johnson 8 yard pass from Chris Redman (Matt Stover kick),7,0
1,1.0,0:36,Panthers,Wesley Walls 20 yard pass from Rodney Peete (John Kasay kick),7,7
2,2.0,9:40,Panthers,John Kasay 27 yard field goal,7,10
