,Quarter,Time,Tm,Detail,NYJ,TEN
0,2.0,,Jets,John Hall 43 yard field goal,3,0
1,2.0,,Oilers,Al Del Greco 34 yard field goal,3,3
2,3.0,,Jets,Keyshawn Johnson 3 yard pass from Vinny Testaverde (John Hall kick),10,3
3,4.0,,Jets,Keith Byars 2 yard pass from Vinny Testaverde (John Hall kick),17,3
4,4.0,,Jets,Curtis Martin 31 yard rush (John Hall kick),24,3
