,Quarter,Tm,Detail,NYG,CLE
0,1.0,Browns,Ernie Green 26 yard pass from Frank Ryan (Lou Groza kick),0,7
1,1.0,Giants,Aaron Thomas 21 yard pass from Earl Morrall (Bob Timberlake kick),7,7
2,1.0,Browns,Jim Brown 3 yard rush (Lou Groza kick),7,14
3,2.0,Browns,Lou Groza 19 yard field goal,7,17
4,2.0,Giants,Homer Jones 79 yard pass from Earl Morrall (Bob Timberlake kick),14,17
5,3.0,Browns,Jim Brown 4 yard rush (Lou Groza kick),14,24
6,3.0,Giants,Bobby Crespino 2 yard pass from Earl Morrall (Bob Timberlake kick),21,24
7,4.0,Browns,Jim Brown 17 yard rush (Lou Groza kick),21,31
8,4.0,Browns,Lou Groza 37 yard field goal,21,34
