,Quarter,Tm,Detail,WAS,PHI
0,1.0,Eagles,Otis Smith 74 yard interception return (Roger Ruzek kick),0,7
1,1.0,Redskins,Chip Lohmiller 21 yard field goal,3,7
2,2.0,Redskins,Ricky Ervins 1 yard rush (Chip Lohmiller kick),10,7
3,2.0,Redskins,Chip Lohmiller 47 yard field goal,13,7
4,3.0,Redskins,Chip Lohmiller 47 yard field goal,16,7
5,4.0,Redskins,Chip Lohmiller 38 yard field goal,19,7
6,4.0,Eagles,Keith Jackson 2 yard pass from Jeff Kemp (Roger Ruzek kick),19,14
7,4.0,Eagles,Maurice Johnson 6 yard pass from Jeff Kemp (Roger Ruzek kick),19,21
8,4.0,Redskins,Chip Lohmiller 35 yard field goal,22,21
9,4.0,Eagles,Roger Ruzek 38 yard field goal,22,24
