,Quarter,Time,Tm,Detail,CHI,PHI
0,1.0,,Eagles,Calvin Williams 9 yard pass from Randall Cunningham (Eddie Murray kick),0,7
1,2.0,,Eagles,Calvin Williams 14 yard pass from Randall Cunningham (Eddie Murray kick),0,14
2,2.0,,Eagles,Maurice Johnson 7 yard pass from Randall Cunningham (Eddie Murray kick),0,21
3,2.0,,Eagles,Eddie Murray 41 yard field goal,0,24
4,3.0,,Eagles,Eddie Murray 29 yard field goal,0,27
5,3.0,,Eagles,Eddie Murray 33 yard field goal,0,30
6,4.0,,Bears,Curtis Conway 22 yard pass from Erik Kramer (Kevin Butler kick),7,30
7,4.0,,Bears,Curtis Conway 85 yard pass from Erik Kramer (Curtis Conway pass from Erik Kramer),15,30
8,4.0,,Bears,Marv Cook 16 yard pass from Erik Kramer (Kevin Butler kick),22,30
