,Quarter,Tm,Detail,CLE,KAN
0,2.0,Browns,Larry Poole 1 yard rush (Don Cockroft kick),7,0
1,2.0,Chiefs,Ed Podolak 22 yard rush,7,6
2,2.0,Chiefs,Ed Podolak 2 yard rush,7,12
3,2.0,Chiefs,Jan Stenerud 27 yard field goal,7,15
4,3.0,Chiefs,Ed Podolak 2 yard rush (Jan Stenerud kick),7,22
5,3.0,Browns,Paul Warfield 13 yard pass from Brian Sipe (Don Cockroft kick),14,22
6,3.0,Chiefs,MacArthur Lane 2 yard rush (Jan Stenerud kick),14,29
7,3.0,Chiefs,Jan Stenerud 42 yard field goal,14,32
8,4.0,Chiefs,Walter White 10 yard pass from Tony Adams (Jan Stenerud kick),14,39
