,Quarter,Time,Tm,Detail,DET,CAR
0,1.0,10:30,Panthers,Steve Smith 20 yard pass from Jake Delhomme (John Kasay kick),0,7
1,2.0,8:03,Panthers,DeShaun Foster 10 yard pass from Jake Delhomme (John Kasay kick),0,14
2,2.0,1:54,Panthers,John Kasay 42 yard field goal,0,17
3,3.0,7:53,Panthers,John Kasay 44 yard field goal,0,20
4,4.0,12:02,Lions,Reggie Swinton 89 yard punt return (Jason Hanson kick),7,20
5,4.0,3:44,Lions,Boss Bailey 62 yard defensive fumble return (Jason Hanson kick),14,20
