,Quarter,Tm,Detail,NOR,STL
0,2.0,Saints,Mike Jones 10 yard pass from Dave Wilson (Morten Andersen kick),7,0
1,2.0,Saints,Morten Andersen 47 yard field goal,10,0
2,3.0,Cardinals,Stump Mitchell 1 yard rush (John Lee kick),10,7
3,4.0,Saints,Morten Andersen 28 yard field goal,13,7
4,4.0,Saints,Morten Andersen 30 yard field goal,16,7
