,Quarter,Tm,Detail,BAL,SDG
0,1.0,Chargers,Kellen Winslow 30 yard pass from Dan Fouts (Rolf Benirschke kick),0,7
1,2.0,Chargers,Rolf Benirschke 45 yard field goal,0,10
2,2.0,Chargers,Wes Chandler 41 yard pass from Dan Fouts,0,16
3,2.0,Chargers,Kellen Winslow 13 yard pass from Dan Fouts (Rolf Benirschke kick),0,23
4,2.0,Colts,Dan Miller 46 yard field goal,3,23
5,3.0,Colts,Matt Bouza 15 yard pass from Mike Pagel (Dan Miller kick),10,23
6,3.0,Colts,Dan Miller 58 yard field goal,13,23
7,3.0,Chargers,James Brooks 8 yard rush (Rolf Benirschke kick),13,30
8,3.0,Chargers,Wes Chandler 44 yard pass from Dan Fouts (Rolf Benirschke kick),13,37
9,4.0,Colts,Curtis Dickey 1 yard rush (pass failed),19,37
10,4.0,Chargers,Kellen Winslow 28 yard pass from Dan Fouts (Rolf Benirschke kick),19,44
11,4.0,Colts,Tim Sherwin offensive fumble recovery in end zone (Dan Miller kick),26,44
