,Quarter,Tm,Detail,WAS,NYG
0,2.0,Redskins,Andy Farkas 2 yard rush (Bob Masterson kick),7,0
1,2.0,Redskins,Andy Farkas 2 yard rush (Bob Masterson kick),14,0
2,4.0,Redskins,Andy Farkas 1 yard rush (Bob Masterson kick),21,0
3,4.0,Redskins,Ted Lapka 11 yard pass from Sammy Baugh (Bob Masterson kick),28,0
