,Quarter,Tm,Detail,CLE,HOU
0,1.0,Browns,Don Cockroft 30 yard field goal,3,0
1,1.0,Browns,Mike Phipps 1 yard rush (Don Cockroft kick),10,0
2,1.0,Browns,Greg Pruitt 53 yard rush (Don Cockroft kick),17,0
3,2.0,Oilers,Skip Butler 27 yard field goal,17,3
4,3.0,Oilers,Skip Butler 46 yard field goal,17,6
5,3.0,Browns,Don Cockroft 22 yard field goal,20,6
6,4.0,Browns,Don Cockroft 45 yard field goal,23,6
7,4.0,Oilers,Mack Alston 39 yard pass from Lynn Dickey (Skip Butler kick),23,13
