,Quarter,Tm,Detail,SFO,CLE
0,1.0,49ers,Ray Wersching 47 yard field goal,3,0
1,1.0,49ers,Ray Wersching 26 yard field goal,6,0
2,2.0,49ers,Roger Craig 20 yard rush (Ray Wersching kick),13,0
3,3.0,49ers,Roger Craig 2 yard rush (Ray Wersching kick),20,0
4,3.0,49ers,Freddie Solomon 60 yard pass from Joe Montana (Ray Wersching kick),27,0
5,4.0,49ers,Freddie Solomon 2 yard pass from Joe Montana (Ray Wersching kick),34,0
6,4.0,49ers,Bill Ring 5 yard rush (Ray Wersching kick),41,0
7,4.0,Browns,Bruce Davis 18 yard pass from Paul McDonald (Matt Bahr kick),41,7
