,Quarter,Tm,Detail,SEA,DEN
0,1.0,Broncos,Norris Weese 6 yard rush (Jim Turner kick),0,7
1,2.0,Broncos,Jon Keyworth 9 yard pass from Norris Weese (Jim Turner kick),0,14
2,3.0,Seahawks,David Sims 6 yard rush (Efren Herrera kick),7,14
3,4.0,Broncos,Larry Canada 9 yard rush (Jim Turner kick),7,21
4,4.0,Broncos,Dave Preston 4 yard pass from Craig Penrose (Jim Turner kick),7,28
