,Quarter,Tm,Detail,NOR,PHI
0,2.0,Eagles,Ron Jaworski 1 yard rush (Horst Muhlmann kick),0,7
1,2.0,Eagles,Harold Carmichael 11 yard pass from Ron Jaworski (Horst Muhlmann kick),0,14
2,4.0,Eagles,Harold Carmichael 4 yard pass from Ron Jaworski (Horst Muhlmann kick),0,21
3,4.0,Saints,Henry Childs 9 yard pass from Bobby Douglass (Rich Szaro kick),7,21
4,4.0,Eagles,Ron Jaworski 2 yard rush (Horst Muhlmann kick),7,28
