,Quarter,Tm,Detail,PHI,DAL
0,1.0,Cowboys,Rafael Septien 47 yard field goal,0,3
1,2.0,Cowboys,Rafael Septien 51 yard field goal,0,6
2,2.0,Eagles,Mike Quick 16 yard pass from Ron Jaworski (Paul McFadden kick),7,6
3,2.0,Cowboys,Ron Springs 25 yard pass from Gary Hogeboom (Rafael Septien kick),7,13
4,2.0,Eagles,Paul McFadden 39 yard field goal,10,13
5,3.0,Cowboys,Rafael Septien 30 yard field goal,10,16
6,3.0,Cowboys,Doug Donley 49 yard pass from Mike Renfro (Rafael Septien kick),10,23
7,4.0,Eagles,Mike Quick 9 yard pass from Ron Jaworski (Paul McFadden kick),17,23
