,Quarter,Tm,Detail,DEN,SEA
0,1,Seahawks,John Williams 4 yard rush (Norm Johnson kick),0,7
1,2,Seahawks,John Williams 6 yard pass from Dave Krieg (Norm Johnson kick),0,14
2,3,Broncos,Bobby Humphrey 1 yard rush (David Treadwell kick),7,14
3,4,Broncos,Clarence Kay 2 yard pass from John Elway (David Treadwell kick),14,14
4,4,Seahawks,Paul Skansi 24 yard pass from Dave Krieg (Norm Johnson kick),14,21
5,4,Broncos,Vance Johnson 54 yard pass from John Elway (David Treadwell kick),21,21
6,OT,Broncos,David Treadwell 27 yard field goal,24,21
