,Quarter,Time,Tm,Detail,NOR,NYG
0,2.0,7:52,Giants,Ron Dayne 6 yard rush (Morten Andersen kick),0,7
1,2.0,3:31,Giants,Tiki Barber 14 yard rush (Morten Andersen kick),0,14
2,2.0,0:01,Saints,John Carney 32 yard field goal,3,14
3,4.0,7:48,Saints,Willie Jackson 32 yard pass from Aaron Brooks (John Carney kick),10,14
4,4.0,6:05,Giants,Joe Jurevicius 46 yard pass from Kerry Collins (Morten Andersen kick),10,21
5,4.0,4:36,Saints,John Carney 30 yard field goal,13,21
