,Quarter,Tm,Detail,BUF,RCH
0,4.0,All-Americans,Scotty Bierce unknown yard rush (Frank Morrissey kick),7,0
1,4.0,All-Americans,Frank Morrissey unknown yard field goal,10,0
2,4.0,All-Americans,Frank Morrissey unknown yard field goal,13,0
