,Quarter,Tm,Detail,SFO,NYG
0,1.0,49ers,Ray Wersching 50 yard field goal,3,0
1,2.0,Giants,Joe Danelo 22 yard field goal,3,3
2,2.0,Giants,Gary Shirk 37 yard pass from Joe Pisarcik (Joe Danelo kick),3,10
3,2.0,Giants,Willie Spencer 1 yard rush (Joe Danelo kick),3,17
4,4.0,Giants,Joe Danelo 22 yard field goal,3,20
5,4.0,49ers,Wilbur Jackson 1 yard rush (Ray Wersching kick),10,20
6,4.0,49ers,Gene Washington 47 yard pass from Jim Plunkett (Ray Wersching kick),17,20
