,Quarter,Tm,Detail,RAM,NOR
0,1.0,Saints,John Gilliam 94 yard kickoff return (Charlie Durkee kick),0,7
1,1.0,Rams,Bruce Gossett 10 yard field goal,3,7
2,2.0,Rams,Bruce Gossett 21 yard field goal,6,7
3,2.0,Saints,Charlie Durkee 44 yard field goal,6,10
4,2.0,Rams,Roman Gabriel 2 yard rush (Bruce Gossett kick),13,10
5,3.0,Saints,Charlie Durkee 25 yard field goal,13,13
6,3.0,Rams,Dick Bass 13 yard rush (Bruce Gossett kick),20,13
7,4.0,Rams,Les Josephson 15 yard pass from Roman Gabriel (Bruce Gossett kick),27,13
