,Quarter,Tm,Detail,PIT,DET
0,1.0,Lions,Elmer Hackney 1 yard rush (Augie Lio kick),0,7
1,2.0,Steelers,Curt Sandig 8 yard rush (Armand Niccolai kick),7,7
2,2.0,Steelers,Tom Brown 9 yard pass from Bill Dudley (Jack Sanders kick),14,7
3,3.0,Steelers,Bill Dudley 37 yard rush (Jack Sanders kick),21,7
4,3.0,Steelers,Dick Riffle 1 yard rush (Jack Sanders kick),28,7
5,4.0,Steelers,Joe Lamas 29 yard fumble return (George Somers kick),35,7
