,Quarter,Tm,Detail,DET,WAS
0,1.0,Redskins,Art Monk 13 yard pass from Joe Theismann (Mark Moseley kick),0,7
1,1.0,Redskins,Reggie Evans 2 yard rush (Mark Moseley kick),0,14
2,2.0,Lions,Eddie Murray 37 yard field goal,3,14
3,2.0,Redskins,Joe Washington 8 yard pass from Joe Theismann (Mark Moseley kick),3,21
4,2.0,Redskins,Reggie Evans 2 yard rush (Mark Moseley kick),3,28
5,3.0,Lions,Billy Sims 13 yard rush (Eddie Murray kick),10,28
6,3.0,Redskins,Mark Moseley 22 yard field goal,10,31
7,4.0,Redskins,Reggie Evans 1 yard rush (Mark Moseley kick),10,38
8,4.0,Lions,Ulysses Norris 2 yard pass from Gary Danielson (Eddie Murray kick),17,38
