,Quarter,Tm,Detail,GNB,RAM
0,1.0,Packers,Clarke Hinkle 15 yard pass from Bob Monnett (Bob Monnett kick),7,0
1,2.0,Packers,Don Hutson 53 yard pass from Cecil Isbell (Bob Monnett kick),14,0
2,2.0,Packers,Don Hutson 31 yard pass from Bob Monnett (Bob Monnett kick),21,0
3,2.0,Rams,Julie Alfonse 15 yard touchdown on a lateral (Bob Snyder kick),21,7
4,3.0,Packers,Don Hutson 50 yard pass from Bob Monnett (Bob Monnett kick),28,7
